Easting,Northing,Up
-97.7654415709256,-114.57433689426772,3.00231424584819
-98.05183486025416,-115.22774936984914,3.0482980477690518
-98.33840719978663,-115.88093991256333,3.095281769366828
-98.625248058794,-116.53401945988193,3.1412654102506608
-98.91226796711916,-117.18687707353754,3.188248972083123
-99.19946692757236,-117.83962372952843,3.2362324534745426
-99.48684490947149,-118.49225939098011,3.2832158529619164
-99.77449142776081,-119.14478407343982,3.3301991724617253
-100.0622274990361,-119.79708682754713,3.378182413814187
-100.35014261206722,-120.44938957730537,3.426165571963452
-100.63832625177783,-121.10147037494028,3.474148652251934
-100.92650994131478,-121.75344019967572,3.522131652166415
-101.21496216737472,-122.40541001940296,3.570114568771025
-101.50350394721254,-123.0571579088265,3.619097409287164
-101.792224764733,-123.70879482369222,3.668080169539074
-102.08103512667803,-124.36043173485373,3.717062847456525
-102.36993504786948,-125.01195769222767,3.7670454454683977
-102.65901398922479,-125.66337265225098,3.8160279640389447
-102.94809299615304,-126.31467665833259,3.866010405621317
-103.23735105683171,-126.96598068343124,3.9169927639499136
-103.52669864339725,-127.61717371174026,3.9669750420304126
-103.81613578875765,-128.2683667590921,4.017957240016841
-104.105572983756,-128.91944883328497,4.0689393604047694
-104.39518885645865,-129.57041948208698,4.097921399308952
-104.68480515527989,-130.22150157352075,4.149903359049688
-104.9744214831469,-130.87247266796385,4.20088523905283
-105.26412736928002,-131.52333280956339,4.25286704042211
-105.55392280255371,-132.17430392519685,4.304848758067223
-105.84371826883269,-132.82516404455265,4.355830398497709
-106.13351379529317,-133.4760241848977,4.407811959112543
-106.42330937280646,-134.1268843251399,4.459793439119387
-106.71319447724464,-134.77774444449483,4.510774838921684
-107.00299015022621,-135.4284936124388,4.562756162801385
-107.29287536836861,-136.07935375293852,4.6147374025281
-107.58267112301549,-136.73021387232552,4.665718564090447
-107.87246694357563,-137.3810740157542,4.717699645261533
-108.16226279672803,-138.03204510996352,4.768680646817401
-108.4519692022813,-138.68290523216243,4.819661569978237
-108.74167565556994,-139.33387632743225,4.870642411242642
-109.03129266150557,-139.98484742480622,4.921623174872238
-109.32090972060655,-140.63592949566973,4.972603856388105
-109.61043731304437,-141.2870115453737,5.022584457332641
-109.89987547674164,-141.93809361878743,5.07356498290774
-110.18931367035371,-142.5892866443325,5.123545424437026
-110.47857292395818,-143.24059064436372,5.173525788320191
-110.76774274803019,-143.89189467117774,5.224506073942365
-111.05682310774003,-144.54330964657106,5.274486277765064
-111.3458140047848,-145.19483557686743,5.32346640049461
-111.63471547208958,-145.84636152994705,5.373446445043982
-111.9235274742594,-146.4979984361757,5.422426409262357
-112.21225003167892,-147.14974631650716,5.471406294536976
-112.50088314212226,-147.80149419721826,5.5203860982910555
-112.78942678561985,-148.45324205600673,5.568365825914654
-113.07797048003988,-149.1052118621398,5.6163454663663686
-113.36642472855789,-149.75707069660373,5.664325033570293
-113.65478917274729,-150.40904003061962,5.69230451779174
-113.94306450672283,-151.06112078809488,5.739283923914613
