Easting,Northing,Up
-95.29413728924297,-84.62698946822165,-231.9361793339275
-95.63143735766708,-85.27138806517789,-231.93619298447814
-95.96566327462239,-85.91746355521818,-231.9362066961852
-96.29698105667751,-86.56512360116102,-231.93622046963765
-96.62555671923238,-87.21427587174415,-231.93623430526304
-96.95155627957244,-87.86482803817552,-231.93624820250488
-97.27514575879107,-88.5166877621476,-231.93626216581293
-97.59649116519934,-89.16976271724903,-231.93627619376736
-97.91575852641424,-89.8239605681429,-231.93629029072235
-98.23311385349933,-90.47918898196116,-231.9363044537998
-98.5487231639094,-91.13535562680502,-231.93631868819108
-98.86275247393044,-91.7923681718341,-231.93633299531785
-99.17536780292188,-92.45013428500344,-231.93634737197453
-99.48673516843265,-93.10856163230056,-231.9363618230748
-99.79702058427888,-93.76755788038325,-231.93637634872314
-100.10639007217654,-94.42703070032539,-231.93639095166878
-100.41500964524407,-95.08688775563115,-231.936405631577
-100.72304532372699,-95.74703671841661,-231.93642038901183
-101.0306631230061,-96.4073852533054,-231.936435226818
-101.33802905817952,-97.06784102827112,-231.93645014645242
-101.64530915007717,-97.72831171172241,-231.93646514800474
-101.95265483303666,-98.38871308172082,-231.93648023178628
-102.26010711789286,-99.04902231725528,-231.9364954024451
-102.56765646155199,-99.70924472032536,-231.93651065342192
-102.87529305864584,-100.36938573103362,-231.9365259882082
-103.1830071084634,-101.02945079297531,-231.93654140793393
-103.49078880418516,-101.68944534804403,-231.93655690899033
-103.79862833927419,-102.34937484263547,-231.93657249498486
-104.10651591162411,-103.00924471179417,-231.9365881645041
-104.41444171699864,-103.66906040415923,-231.93660391422696
-104.72239594618338,-104.3288273629901,-231.93661974886103
-105.03036879816561,-104.98855102663106,-231.93663566723507
-105.33835047264945,-105.6482368403202,-231.93665166592226
-105.64633115627257,-106.30789024784012,-231.93666775048774
-105.95430104962517,-106.96751668999003,-231.93668391489075
-106.26225034379465,-107.6271216111675,-231.93670016308675
-106.57016924329243,-108.2867104513868,-231.9367164963424
-106.87804793302229,-108.94628865471076,-231.93673290812654
-107.18587661511992,-109.60586166513802,-231.93674940449466
-107.4936454806919,-110.26543492407593,-231.93676598171152
-107.80134473000751,-110.92501387380189,-231.93678264190152
-108.10896455594548,-111.58460395768873,-231.9367993841504
-108.41649515296831,-112.24421061931965,-231.93681620647948
-108.72392671531188,-112.90383929977287,-231.93683311340968
-109.03124944070052,-113.56349544393002,-231.93685010277557
-109.33845352536895,-114.22318449173116,-231.93686717125624
-109.64552915961265,-114.88291188765558,-231.93688432347832
-109.9524665455865,-115.54268307196405,-231.93690155725145
-110.25925587381265,-116.20250349126684,-231.93691887042513
-110.56588734346676,-116.86237858678511,-231.93693626654652
-110.87235114840786,-117.52231379833029,-231.93695374403046
-111.17863747964824,-118.18231457391032,-231.93697130275004
-111.48473653922949,-118.84238635103779,-231.93698894265444
-111.79063851874821,-119.50253457550875,-231.93700666425275
-112.09633361690908,-120.16276469051299,-231.93702446609612
-112.4018120237058,-120.82308213565267,-231.93704235078775
