XODR Coordinates for (s, t) Coordinates on R1
====================================================================================================

         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
    3386.0 |      0.000 |      219.261655 |      -30.655186 |        5.814762 |      220.323079 |      -34.688349 |        5.814762
    3387.0 |      0.000 |      218.771932 |      -29.766555 |        5.809217 |      219.842862 |      -33.811199 |        5.809217
    3388.0 |      0.000 |      218.282249 |      -28.877902 |        5.804266 |      219.362685 |      -32.934027 |        5.804266
    3389.0 |      0.000 |      217.792603 |      -27.989228 |        5.799907 |      218.882545 |      -32.056835 |        5.799907
    3390.0 |      0.000 |      217.302991 |      -27.100537 |        5.796142 |      218.402437 |      -31.179626 |        5.796142
    3391.0 |      0.000 |      216.813408 |      -26.211829 |        5.792970 |      217.922359 |      -30.302400 |        5.792970
    3392.0 |      0.000 |      216.323853 |      -25.323106 |        5.790391 |      217.442307 |      -29.425160 |        5.790391
    3393.0 |      0.000 |      215.834320 |      -24.434371 |        5.788406 |      216.962279 |      -28.547907 |        5.788406
    3394.0 |      0.000 |      215.344808 |      -23.545624 |        5.787013 |      216.482270 |      -27.670644 |        5.787013
    3395.0 |      0.000 |      214.855312 |      -22.656869 |        5.786213 |      216.002277 |      -26.793371 |        5.786213
    3396.0 |      0.000 |      214.365830 |      -21.768107 |        5.786000 |      215.522297 |      -25.916091 |        5.786000
    3397.0 |      0.000 |      213.876357 |      -20.879339 |        5.786000 |      215.042328 |      -25.038806 |        5.786000
    3398.0 |      0.000 |      213.386891 |      -19.990568 |        5.786000 |      214.562364 |      -24.161518 |        5.786000
    3399.0 |      0.000 |      212.897428 |      -19.101794 |        5.786000 |      214.082404 |      -23.284228 |        5.786000
    3400.0 |      0.000 |      212.407965 |      -18.213022 |        5.786000 |      213.602443 |      -22.406938 |        5.786000
    3401.0 |      0.000 |      211.918499 |      -17.324251 |        5.786000 |      213.122479 |      -21.529650 |        5.786000
    3402.0 |      0.000 |      211.429025 |      -16.435483 |        5.786000 |      212.642508 |      -20.652365 |        5.786000
    3403.0 |      0.000 |      210.939541 |      -15.546722 |        5.786000 |      212.162527 |      -19.775086 |        5.786000
    3404.0 |      0.000 |      210.450051 |      -14.657964 |        5.786000 |      211.682540 |      -18.897811 |        5.786000
    3405.0 |      0.000 |      209.958645 |      -13.769882 |        5.786000 |      211.200666 |      -18.021206 |        5.786000
    3406.0 |      0.000 |      209.462099 |      -12.884906 |        5.786000 |      210.713730 |      -17.147674 |        5.786000
    3407.0 |      0.000 |      208.960466 |      -12.003130 |        5.786000 |      210.221783 |      -16.277308 |        5.786000
    3408.0 |      0.000 |      208.453846 |      -11.124492 |        5.786000 |      209.724923 |      -15.410047 |        5.786000
    3409.0 |      0.000 |      207.941995 |      -10.248346 |        5.786000 |      209.222912 |      -14.545253 |        5.786000
    3410.0 |      0.000 |      207.425190 |       -9.374948 |        5.786000 |      208.716022 |      -13.683178 |        5.786000
    3411.0 |      0.000 |      206.903687 |       -8.504505 |        5.786000 |      208.204504 |      -12.824027 |        5.786000
    3412.0 |      0.000 |      206.377587 |       -7.636951 |        5.786000 |      207.688457 |      -11.967735 |        5.786000
    3413.0 |      0.000 |      205.846867 |       -6.772030 |        5.786000 |      207.167860 |      -11.114048 |        5.786000
    3414.0 |      0.000 |      205.311654 |       -5.909724 |        5.786000 |      206.642838 |      -10.262949 |        5.786000
    3415.0 |      0.000 |      204.772140 |       -5.050122 |        5.786000 |      206.113579 |       -9.414526 |        5.786000
    3416.0 |      0.000 |      204.228424 |       -4.193161 |        5.786000 |      205.580181 |       -8.568715 |        5.786000
    3417.0 |      0.000 |      203.680618 |       -3.338793 |        5.786000 |      205.042753 |       -7.725470 |        5.786000
    3418.0 |      0.000 |      203.128825 |       -2.486959 |        5.786000 |      204.501398 |       -6.884732 |        5.786000
    3419.0 |      0.000 |      202.573130 |       -1.637576 |        5.786000 |      203.956200 |       -6.046419 |        5.786000
    3420.0 |      0.000 |      202.013635 |       -0.790579 |        5.786000 |      203.407258 |       -5.210468 |        5.786000
    3421.0 |      0.000 |      201.450509 |        0.053988 |        5.786000 |      202.854740 |       -4.376920 |        5.786000
