================================================================================
RESULTS SUMMARY
================================================================================

XODR coordinates for (s, t) coordinates on R1:

----------------------------------------------------------------------------------------------------
         s |          t |          XODR X |          XODR Y |          XODR Z |            RD X |            RD Y |            RD Z
     508.0 |      0.000 |     -122.564543 |     -208.235311 |       10.997800 |     -116.325584 |     -210.455426 |       10.997800
     509.0 |      0.000 |     -122.979168 |     -209.158625 |       11.026444 |     -116.735223 |     -211.367821 |       11.026444
     510.0 |      0.000 |     -123.395683 |     -210.080897 |       11.054222 |     -117.146719 |     -212.279189 |       11.054222
     511.0 |      0.000 |     -123.814169 |     -211.002079 |       11.081134 |     -117.560152 |     -213.189484 |       11.081134
     512.0 |      0.000 |     -124.234706 |     -211.922127 |       11.107180 |     -117.975602 |     -214.098659 |       11.107180
     513.0 |      0.000 |     -124.657565 |     -212.841399 |       11.132361 |     -118.393334 |     -215.007071 |       11.132361
     514.0 |      0.000 |     -125.082884 |     -213.759967 |       11.156675 |     -118.813486 |     -215.914791 |       11.156675
     515.0 |      0.000 |     -125.510504 |     -214.677258 |       11.180124 |     -119.235900 |     -216.821252 |       11.180124
     516.0 |      0.000 |     -125.940507 |     -215.593226 |       11.202706 |     -119.660655 |     -217.726409 |       11.202706
     517.0 |      0.000 |     -126.372973 |     -216.507823 |       11.224423 |     -120.087831 |     -218.630214 |       11.224423
     518.0 |      0.000 |     -126.807985 |     -217.421003 |       11.245274 |     -120.517510 |     -219.532623 |       11.245274
     519.0 |      0.000 |     -127.246038 |     -218.333579 |       11.265259 |     -120.950180 |     -220.434438 |       11.265259
     520.0 |      0.000 |     -127.686845 |     -219.244723 |       11.284385 |     -121.385557 |     -221.334842 |       11.284385
     521.0 |      0.000 |     -128.130448 |     -220.154308 |       11.302954 |     -121.823682 |     -222.233709 |       11.302954
     522.0 |      0.000 |     -128.576930 |     -221.062286 |       11.321122 |     -122.264636 |     -223.130992 |       11.321122
     523.0 |      0.000 |     -129.026371 |     -221.968611 |       11.338888 |     -122.708499 |     -224.026646 |       11.338888
     524.0 |      0.000 |     -129.479020 |     -222.873566 |       11.356254 |     -123.155516 |     -224.920950 |       11.356254
     525.0 |      0.000 |     -129.935048 |     -223.777273 |       11.373218 |     -123.605856 |     -225.814026 |       11.373218
     526.0 |      0.000 |     -130.394289 |     -224.679184 |       11.389780 |     -124.059352 |     -226.705331 |       11.389780
     527.0 |      0.000 |     -130.856823 |     -225.579252 |       11.405942 |     -124.516086 |     -227.594819 |       11.405942
     528.0 |      0.000 |     -131.322733 |     -226.477430 |       11.421702 |     -124.976138 |     -228.482444 |       11.421702
