s_m,x_m,y_m,heading_rad
464.398970,176.592563,-334.921479,-0.942762841677
466.393638,177.738309,-336.554259,-0.975225802340
468.379765,178.825134,-338.216639,-1.008478029306
470.356878,179.850697,-339.906964,-1.042590883954
472.324649,180.812654,-341.623577,-1.077633563031
474.282904,181.708664,-343.364821,-1.113672131061
476.231645,182.536385,-345.129040,-1.150768327144
478.171059,183.293473,-346.914577,-1.188978131102
480.101539,183.977587,-348.719776,-1.228350083179
482.057393,184.610312,-350.570458,-1.254217903406
484.009498,185.194829,-352.432998,-1.279009589595
485.959168,185.733362,-354.306816,-1.302685145171
487.907553,186.228135,-356.191333,-1.325212679820
489.855646,186.681370,-358.085969,-1.346567744950
491.804289,187.095291,-359.990143,-1.366732583627
493.754182,187.472121,-361.903277,-1.385695331566
495.705886,187.814084,-363.824789,-1.403449200708
497.659835,188.123403,-365.754100,-1.419991671373
499.616346,188.402301,-367.690631,-1.435323713266
501.575622,188.653003,-369.633800,-1.449449050298
503.537763,188.877730,-371.583029,-1.462373479422
505.502776,189.078707,-373.537738,-1.474104249621
507.470584,189.258157,-375.497346,-1.484649503944
509.441030,189.418304,-377.461275,-1.494017784957
511.413893,189.561370,-379.428942,-1.502217602149
513.388886,189.689580,-381.399770,-1.509257058618
515.365676,189.805155,-383.373178,-1.515143533648
517.343881,189.910321,-385.348586,-1.519883417501
519.323087,190.007300,-387.325415,-1.523481894785
521.302849,190.098316,-389.303083,-1.525942773051
523.282703,190.185592,-391.281013,-1.527268353759
525.262171,190.271351,-393.258623,-1.527459343401
527.240772,190.357817,-395.235333,-1.526514803272
529.218026,190.447213,-397.210565,-1.524432137205
531.193462,190.541763,-399.183737,-1.521207117406
533.166630,190.643690,-401.154271,-1.516833949390
535.137103,190.755217,-403.121585,-1.511305377859
537.104490,190.878567,-405.085101,-1.504612836163
539.068439,191.015965,-407.044238,-1.496746642733
541.028650,191.169633,-408.998417,-1.487696248484
542.996019,191.334959,-410.958827,-1.485657881716
544.965276,191.504283,-412.920791,-1.483782586889
546.936345,191.677285,-414.884253,-1.482069678979
548.909146,191.853646,-416.849156,-1.480518510799
550.883600,192.033046,-418.815442,-1.479128473904
552.859625,192.215167,-420.783057,-1.477898999386
554.837138,192.399688,-422.751942,-1.476829558546
556.816055,192.586289,-424.722041,-1.475919663458
558.796291,192.774652,-426.693298,-1.475168867432
560.777761,192.964456,-428.665657,-1.474576765367
562.760378,193.155382,-430.639059,-1.474142994012
564.744055,193.347111,-432.613449,-1.473867232126
566.728706,193.539323,-434.588771,-1.473749200545
568.714244,193.731698,-436.564967,-1.473788662158
570.700580,193.923918,-438.541980,-1.473985421794
572.687628,194.115661,-440.519755,-1.474339326018
574.675300,194.306609,-442.498235,-1.474850262837
576.663511,194.496443,-444.477362,-1.475518161321
578.652174,194.684842,-446.457081,-1.476342991130
580.641204,194.871487,-448.437334,-1.477324761966
582.630516,195.056058,-450.418066,-1.478463522913
584.620028,195.238237,-452.399219,-1.479759361709
586.609656,195.417703,-454.380736,-1.481212403913
588.599320,195.594137,-456.362562,-1.482822811975
590.588940,195.767219,-458.344639,-1.484590784225
592.578438,195.936630,-460.326911,-1.486516553740
594.567738,196.102050,-462.309322,-1.488600387135
596.556765,196.263160,-464.291814,-1.490842583226
598.545448,196.419640,-466.274330,-1.493243471594
600.533716,196.571170,-468.256816,-1.495803411045
602.521501,196.717431,-470.239212,-1.498522787934
604.508738,196.858104,-472.221464,-1.501402014387
606.495365,196.992868,-474.203515,-1.504441526387
608.481321,197.121405,-476.185307,-1.507641781736
610.466550,197.243395,-478.166784,-1.511003257878
612.450998,197.358518,-480.147890,-1.514526449586
614.434614,197.466454,-482.128568,-1.518211866509
616.417352,197.566885,-484.108761,-1.522060030557
618.399169,197.659490,-486.088412,-1.526071473150
620.380024,197.743950,-488.067466,-1.530246732293
622.359881,197.819945,-490.045865,-1.534586349499
624.338711,197.887156,-492.023552,-1.539090866536
626.316484,197.945264,-494.000472,-1.543760822007
628.293179,197.993948,-495.976567,-1.548596747756
630.268777,198.032889,-497.951781,-1.553599165089
632.243264,198.061769,-499.926057,-1.558768580818
634.216632,198.080266,-501.899338,-1.564105483117
636.188878,198.088061,-503.871569,-1.569610337198
638.160003,198.084836,-505.842692,-1.575283580792
640.130016,198.070270,-507.812650,-1.581125619451
642.098928,198.044044,-509.781387,-1.587136821660
644.066758,198.005838,-511.748847,-1.593317513767
646.033532,197.955333,-513.714973,-1.599667974732
647.999281,197.892209,-515.679707,-1.606188430704
649.964041,197.816147,-517.642994,-1.612879049430
651.927856,197.726826,-519.604777,-1.619739934495
653.890777,197.623929,-521.564999,-1.626771119428
655.852860,197.507134,-523.523604,-1.633972561650
657.814171,197.376123,-525.480534,-1.641344136318
659.774781,197.230575,-527.435734,-1.648885630038
661.734768,197.070172,-529.389146,-1.656596734509
663.694219,196.894593,-531.340715,-1.664477040083
665.653227,196.703520,-533.290382,-1.672526029281
667.611895,196.496632,-535.238093,-1.680743070292
669.570332,196.273611,-537.183790,-1.689127410474
671.528655,196.034136,-539.127416,-1.697678169895
673.486991,195.777888,-541.068915,-1.706394334940
675.445475,195.504547,-543.008230,-1.715274752033
677.404249,195.213794,-544.945305,-1.724318121488
679.363465,194.905309,-546.880083,-1.733522991561
681.323284,194.578773,-548.812507,-1.742887752711
683.283874,194.233867,-550.742520,-1.752410632145
685.245414,193.870270,-552.670067,-1.762089688674
687.208091,193.487663,-554.595090,-1.771922807925
689.172102,193.085726,-556.517533,-1.781907697978
