s_m,x_m,y_m,heading_rad
431.291871,-75.216445,-105.298942,-2.170276973683
433.279894,-76.337280,-106.940880,-2.169257773428
435.267927,-77.456434,-108.583977,-2.168222781541
437.255973,-78.573881,-110.228252,-2.167172000811
439.244034,-79.689596,-111.873721,-2.166105434245
441.232114,-80.803552,-113.520404,-2.165023085070
443.220214,-81.915724,-115.168317,-2.163924956745
445.208338,-83.026085,-116.817478,-2.162811052972
447.196488,-84.134611,-118.467906,-2.161681377694
449.184668,-85.241274,-120.119618,-2.160535935116
451.151718,-86.328190,-121.759100,-2.151953615286
453.117725,-87.400571,-123.406881,-2.143546317142
455.082846,-88.458730,-125.062780,-2.135315726839
457.047231,-89.502980,-126.726616,-2.127263375413
459.011018,-90.533635,-128.398205,-2.119390645038
460.974340,-91.551009,-130.077366,-2.111698775467
462.937320,-92.555415,-131.763918,-2.104188870627
464.900072,-93.547167,-133.457678,-2.096861905327
466.862703,-94.526579,-135.158465,-2.089718732027
468.825313,-95.493963,-136.866097,-2.082760087648
470.787993,-96.449633,-138.580391,-2.075986600385
472.750826,-97.393904,-140.301166,-2.069398796482
474.713889,-98.327088,-142.028240,-2.062997106962
476.677252,-99.249499,-143.761432,-2.056781874269
478.640978,-100.161451,-145.500559,-2.050753358804
480.605121,-101.063256,-147.245439,-2.044911745346
482.569733,-101.955230,-148.995890,-2.039257149321
484.534855,-102.837685,-150.751731,-2.033789622921
486.500525,-103.710934,-152.512780,-2.028509161052
488.466774,-104.575292,-154.278855,-2.023415707100
490.433627,-105.431072,-156.049774,-2.018509158506
492.401105,-106.278587,-157.825355,-2.013789372145
494.369223,-107.118152,-159.605416,-2.009256169502
496.337989,-107.950079,-161.389776,-2.004909341637
498.307409,-108.774682,-163.178252,-2.000748653936
500.277484,-109.592274,-164.970662,-1.996773850658
502.248208,-110.403170,-166.766825,-1.992984659256
504.219574,-111.207683,-168.566560,-1.989380794492
506.191569,-112.006125,-170.369683,-1.985961962328
508.164176,-112.798812,-172.176013,-1.982727863618
510.137377,-113.586056,-173.985368,-1.979678197572
512.111147,-114.368171,-175.797567,-1.976812665025
514.085459,-115.145471,-177.612427,-1.974130971491
516.060286,-115.918268,-179.429766,-1.971632830022
518.035593,-116.686877,-181.249403,-1.969317963853
520.011347,-117.451612,-183.071156,-1.967186108867
521.987509,-118.212785,-184.894843,-1.965237015853
523.964041,-118.970710,-186.720282,-1.963470452576
525.940901,-119.725701,-188.547291,-1.961886205668
527.918045,-120.478071,-190.375688,-1.960484082322
529.895428,-121.228135,-192.205292,-1.959263911813
531.873004,-121.976204,-194.035920,-1.958225546838
533.850726,-122.722594,-195.867391,-1.957368864678
535.828544,-123.467617,-197.699522,-1.956693768185
537.806410,-124.211588,-199.532133,-1.956200186602
539.784272,-124.954819,-201.365040,-1.955888076208
541.762082,-125.697624,-203.198062,-1.955757420787
543.739787,-126.440317,-205.031018,-1.955808231942
545.717338,-127.183211,-206.863725,-1.956040549229
547.694683,-127.926620,-208.696001,-1.956454440126
549.671772,-128.670857,-210.527665,-1.957049999833
551.648556,-129.416237,-212.358535,-1.957827350904
553.624985,-130.163072,-214.188428,-1.958786642706
555.601012,-130.911675,-216.017164,-1.959928050707
557.576589,-131.662362,-217.844559,-1.961251775592
559.551670,-132.415444,-219.670432,-1.962758042197
561.526213,-133.171237,-221.494602,-1.964447098274
563.500173,-133.930052,-223.316887,-1.966319213065
565.473512,-134.692204,-225.137103,-1.968374675701
567.446190,-135.458007,-226.955071,-1.970613793403
569.418172,-136.227773,-228.770607,-1.973036889507
571.389424,-137.001817,-230.583530,-1.975644301276
573.359915,-137.780452,-232.393658,-1.978436377532
575.329618,-138.563992,-234.200809,-1.981413476070
577.298508,-139.352749,-236.004801,-1.984575960881
579.266563,-140.147038,-237.805453,-1.987924199153
581.221861,-140.939343,-239.593034,-1.988036942831
583.180258,-141.732856,-241.383468,-1.987871576510
585.141529,-142.526988,-243.176772,-1.987429312893
587.105449,-143.321151,-244.972959,-1.986711167719
589.071795,-144.114755,-246.772045,-1.985717963317
591.040345,-144.907212,-248.574043,-1.984450332416
593.010878,-145.697934,-250.378970,-1.982908722231
594.983176,-146.486330,-252.186840,-1.981093398811
596.957024,-147.271812,-253.997666,-1.979004451678
598.932210,-148.053791,-255.811465,-1.976641798770
600.908525,-148.831678,-257.628251,-1.974005191698
602.885764,-149.604885,-259.448039,-1.971094221360
604.863728,-150.372822,-261.270843,-1.967908323926
606.842222,-151.134901,-263.096678,-1.964446787231
608.821056,-151.890532,-264.925559,-1.960708757610
610.800047,-152.639127,-266.757501,-1.956693247218
612.779017,-153.380097,-268.592518,-1.952399141874
614.757797,-154.112852,-270.430625,-1.947825209468
