x_m,y_m
172.48102308838207,35.065279241158585
173.56953588721012,33.388492560463284
174.65177246620794,31.707523928752273
175.72787922254884,30.022488767558315
176.79800255340604,28.333502498414187
177.8622888559528,26.640680542852653
178.92088452736238,24.94413832240648
179.97393596480805,23.24399125860843
181.021589565463,21.540354772991275
182.06399172650055,19.83334428708777
183.1012888450939,18.1230752224307
184.13362731841633,16.40966300055284
185.16115354364112,14.693223042986933
186.18401391794146,12.97387077126577
187.20235483849063,11.251721606922088
188.2163227024619,9.526890971488672
189.2260639070285,7.799494286498295
190.2317248493637,6.06964697348372
191.23345192664073,4.337464453977712
192.23139153603285,2.6030621495130384
193.2256900747133,0.866555481622465
194.21649393985538,-0.8719401281612424
195.2039495286323,-2.612309258305308
196.1882032382173,-4.354436487276977
197.1694014657837,-6.09820639354347
198.1476906085047,-7.843503555572026
199.12321706355354,-9.590212551829879
200.09612722810348,-11.338217960784256
201.06656749932782,-13.087404360902394
202.03468427439972,-14.837656330651525
203.00062395049252,-16.588858448498883
203.96453292477946,-18.340895292911696
204.92655759443375,-20.093651442357203
205.88684435662867,-21.847011475302633
205.6464800989829,-21.40615214140135
204.7026973272567,-19.645053268038414
203.77882469281437,-17.874155181380434
202.87385313989162,-16.093953590298746
201.98677361272425,-14.30494420366468
201.11657705554796,-12.507622730349576
200.26225441259854,-10.702484879224757
199.42279662811168,-8.890026359161567
198.5971946463232,-7.070742879031331
197.78443941146884,-5.24513014770539
196.98352186778433,-3.4136838740550757
196.19343295950537,-1.5768997669517175
195.41316363086779,0.2647264647333527
194.64170482610734,2.1106991121287915
193.87804748945973,3.9605224663632854
193.12118256516072,5.813700818565476
192.37010099744606,7.669738459864043
191.6237937305515,9.528139681387653
190.8812517087128,11.38840877426497
190.14146587616574,13.25005002962467
189.403427177146,15.112567738595407
188.6661265558894,16.975466192305845
187.92855495663161,18.83824968188467
187.18970332360846,20.700422498460526
186.44856260105567,22.561488933162085
185.70412373320897,24.42095327711803
184.95537766430414,26.278319821457014
184.20131533857693,28.133092857307705
183.44092770026307,29.984776675798777
182.6732056935983,31.83287556805887
181.89714026281843,33.67689382521669
181.11172235215915,35.51633573840089
180.31594290585622,37.35070559874009
179.50879286814543,39.17950769736304
178.68926318326248,41.002246325398346
177.85634479544316,42.81842577397471
177.00902864892322,44.627550334220764
176.14630568793837,46.429124297265176
175.2671668567244,48.22265195423667
174.37060309951704,50.00763759626385
173.45560536055206,51.78358551447539
172.52116458406513,53.55000000000002
172.59694702084803,53.40866743199993
173.5421293850891,51.6461096399565
174.4874638026287,49.88363151245153
175.43296106407192,48.12123903275005
176.37863196002397,46.35893818411704
177.32448728109003,44.59673494981753
178.27053781787515,42.83463531311657
179.21679436098452,41.07264525727913
180.16326770102324,39.310770765570275
181.10996862859653,37.54901782125497
182.05690793430946,35.78739240759826
183.00409640876723,34.02590050786515
183.95154484257492,32.264548105320664
184.89926402633773,30.503341183229832
185.84726475066077,28.74228572485762
186.79555780614916,26.981387713469104
187.7441539834081,25.220653132329254
188.69306407304273,23.4600879647031
189.64229886565812,21.699698193855667
190.5918691518595,19.93948980305196
191.54178572225197,18.17946877555701
192.49205936744067,16.419641094635825
193.44270087803073,14.660012743553398
194.3937210446273,12.90058970557478
195.3451306578356,11.141377963964972
196.29694050826066,9.38238350198898
197.24916138650764,7.623612302911836
198.20180408318174,5.865070349998554
199.1548793888881,4.10676362651414
200.10839809423177,2.348698115723613
201.06237098981802,0.5908798008919914
202.0168088662519,-1.1666853347157018
202.97172251413858,-2.923991307834464
203.9271227240832,-4.681032135199274
204.8830202866909,-6.437801833545112
205.83942599256687,-8.19429441960697
206.79635063231618,-9.950503910119828
207.753804996544,-11.70642432181867
208.71179987585546,-13.462049671438479
209.67034606085574,-15.217373975714242
210.62945434214998,-16.97239125138094
211.5891355103447,-18.727095515176153
211.8689967609336,-19.23859978448816
212.8289598597993,-20.9931569224892
213.7888902140504,-22.747732027959895
214.7488115058364,-24.502312146876992
215.70875030175296,-26.256882718793165
216.66873316839582,-28.011429183261058
217.6287866723607,-29.765936979833334
218.58893738024338,-31.52039154806265
219.54921185863952,-33.274778327501664
220.5096366741449,-35.02908275770303
221.4702383933552,-36.78329027821942
222.4310435828662,-38.537386328603475
223.39207880927356,-40.29135634840787
224.3520828899636,-42.0430068652725
225.29310074921116,-43.78468159579299
226.225831544894,-45.548453361635815
227.15268532929582,-47.33093400447409
228.07607215470034,-49.12873536598093
228.9984020733912,-50.93846928782945
229.92208513765206,-52.75674761169278
230.84953139976668,-54.58018217924402
231.78315091201867,-56.405384832156265
232.72535372669176,-58.22896741210267
233.6785498960696,-60.04754176075632
234.6451494724359,-61.85771971979034
235.62756250807436,-63.656113130877856
236.6281990552686,-65.43933383569195
237.64946916630234,-67.20399367590575
238.69378289345929,-68.9467044931924
239.76355028902313,-70.66407812922498
240.8611814052775,-72.35272642567661
241.9890862945061,-74.0092612242204
243.14967500899266,-75.63029436652948
244.34535760102077,-77.21243769427696
245.5785441228742,-78.75230304913595
246.85164462683662,-80.24650227277957
248.16706916519166,-81.69164720688093
249.52722779022307,-83.08434969311314
250.93453055421446,-84.42122157314931
252.39138750944963,-85.69887468866257
253.90020870821212,-86.91392088132604
255.46340420278574,-88.06297199281279
257.0833840454541,-89.14263986479601
