x,y
189.89034976791703,-384.9598509624686
189.9413014342148,-385.96419464521324
189.99031762063893,-386.96885848801736
190.03769014345997,-387.97376638093783
190.0837108189485,-388.9788422140319
190.12867146337513,-389.9840098773566
190.1728638930104,-390.989193260969
190.216579924125,-391.9943162549263
190.2601113729894,-392.99930274928533
190.30375005587425,-394.0040766341035
190.34778778905007,-395.0085617994376
190.39251638878756,-396.0126821353449
190.4382276713572,-397.0163615318824
190.4852134530296,-398.0195238791072
190.53376555007534,-399.02209306707647
190.58417577876506,-400.02399298584714
190.63673595536932,-401.0251475254764
190.69173789615863,-402.02548057602127
190.74947341740366,-403.0249160275389
190.810234335375,-404.02337777008626
190.87431246634318,-405.0207896937206
190.94199962657882,-406.0170756884989
191.01358763235248,-407.01215964447823
191.08936829993476,-408.0059654517157
191.16963344559625,-408.99841700026843
191.2523239861988,-409.98491571708024
191.3360675378326,-410.9718152461791
191.4208233571499,-411.9591083666513
191.506550700803,-412.9467878575828
191.59320882544412,-413.9348464980599
191.68075698772554,-414.92327706716867
191.76915444429955,-415.91207234399536
191.85836045181836,-416.9012251076259
191.94833426693432,-417.89072813714677
192.03903514629968,-418.8805742116439
192.13042234656663,-419.87075611020344
192.22245512438752,-420.8612666119116
192.31509273641458,-421.85209849585453
192.40829443930014,-422.8432445411184
192.50201948969635,-423.8346975267893
192.59622714425558,-424.82645023195346
192.69087665963008,-425.81849543569695
192.78592729247208,-426.81082591710594
192.88133829943388,-427.8034344552667
192.97706893716776,-428.7963138292652
193.07307846232595,-429.7894568181877
193.16932613156072,-430.78285620112035
193.26577120152436,-431.77650475714927
193.36237292886912,-432.7703952653606
193.4590905702473,-433.76452050484056
193.55588338231118,-434.75887325467517
193.65271062171294,-435.75344629395073
193.74953154510493,-436.7482324017533
193.84630540913938,-437.74322435716914
193.94299147046857,-438.7384149392842
194.03954898574477,-439.7337969271848
194.13593721162025,-440.72936309995714
194.23211540474725,-441.7251062366872
194.3280428217781,-442.7210191164612
194.42367871936503,-443.7170945183653
194.51898235416027,-444.7133252214857
194.61391298281615,-445.7097040049085
194.7084298619849,-446.7062236477198
194.80249224831883,-447.70287692900587
194.89605939847016,-448.6996566278528
194.98909056909116,-449.69655552334666
195.08154501683418,-450.6935663945738
195.17338199835137,-451.69068202062016
195.26456077029505,-452.687895180572
195.3550405893175,-453.68519865351556
195.444780712071,-454.6825852185368
195.5337403952078,-455.680047654722
195.62187889538012,-456.6775787411573
195.7091554692403,-457.6751712569287
195.7955293734406,-458.6728179811226
195.88095986463324,-459.670511692825
195.96540619947052,-460.6682451711221
196.04882763460472,-461.6660111951
196.13118342668807,-462.6638025438449
196.21243283237285,-463.66161199644296
196.2925351083114,-464.65943233198027
196.37144951115587,-465.65725632954303
196.4491352975586,-466.65507676821744
196.52555172417186,-467.6528864270895
196.60065804764787,-468.65067808524554
196.67441352463896,-469.64844452177164
196.74677741179738,-470.64617851575383
196.81770896577535,-471.6438728462785
196.8871674432252,-472.6415202924316
196.95511210079914,-473.6391136332993
197.02150219514948,-474.6366456479679
197.0862969829285,-475.6341091155235
197.1494557207884,-476.6314968150522
197.21093766538155,-477.62880152564003
197.27070207336013,-478.62601602637335
197.32870820137643,-479.6231330963383
197.38491530608275,-480.6201455146209
197.43928264413134,-481.61704606030736
197.49176947217447,-482.6138275124839
197.54233504686437,-483.6104826502365
197.59093862485335,-484.60700425265156
197.63753946279368,-485.60338509881507
197.68209681733762,-486.5996179678132
197.7245699451374,-487.595695638732
197.76491810284534,-488.59161089065793
197.8031005471137,-489.5873565026768
197.83907653459474,-490.582925253875
197.87280532194072,-491.5783099233385
197.90424616580393,-492.5735032901536
197.93335832283663,-493.5684981334064
197.96010104969102,-494.56328723218303
197.98443360301948,-495.5578633655696
198.00631523947422,-496.5522193126523
198.02570521570752,-497.54634785251744
198.0425627883716,-498.54024176425094
198.05684721411882,-499.53389382693905
198.06851774960137,-500.5272968196679
198.07753365147158,-501.52044352152376
198.08385417638166,-502.5133267115925
198.08743858098393,-503.50593916896054
198.0882461219306,-504.498273672714
198.08623605587397,-505.4903230019389
198.08136763946632,-506.48207993572146
198.07360012935987,-507.47353725314787
198.06289278220697,-508.46468773330423
198.04920485465982,-509.45552415527675
198.03249560337073,-510.4460392981515
198.01272428499192,-511.43622594101475
197.9898501561757,-512.4260768629525
197.9638324735743,-513.415584843051
197.93463049384005,-514.4047426603964
197.90220347362518,-515.3935430940747
197.86651066958194,-516.3819789231724
197.8275113383626,-517.3700429267753
197.78516473661946,-518.3577278839697
197.73943012100477,-519.3450265738418
197.6902667481708,-520.3319317754776
197.63763387476985,-521.3184362679634
197.5814907574541,-522.3045328303853
197.5217966528759,-523.2902142418294
197.4585108176875,-524.2754732813819
197.39159250854118,-525.260302728129
197.32100098208912,-526.2446953611568
197.24669549498373,-527.2286439595514
197.16863530387715,-528.212141302399
197.08677966542172,-529.1951801687858
197.0010878362697,-530.1777533377979
196.91151907307335,-531.1598535885214
196.81803263248494,-532.1414737000426
196.72058777115672,-533.1226064514476
196.61914374574096,-534.1032446218225
196.51365981288998,-535.0833809902533
196.404095229256,-536.0630083358266
196.29040925149127,-537.042119437628
196.1725611362481,-538.020707074744
196.05051014017874,-538.9987640262607
195.92421551993547,-539.9762830712643
195.79363653217052,-540.9532569888408
195.65873243353622,-541.9296785580765
195.51946248068478,-542.9055405580574
195.3757859302685,-543.8808357678697
195.22766203893966,-544.8555569665997
195.0750500633505,-545.8296969333334
194.9179092601533,-546.803248447157
194.75619888600033,-547.7762042871566
194.58987819754384,-548.7485572324184
194.4189064514361,-549.7203000620286
194.24324290432943,-550.6914255550732
194.06284681287602,-551.6619264906385
193.8776774337282,-552.6317956478107
193.6876940235382,-553.6010258056757
193.4928558389583,-554.5696097433198
193.2931221366408,-555.5375402398292
193.0884521732379,-556.50481007429
192.87880520540193,-557.4714120257885
192.66414048978513,-558.4373388734106
192.4450395231507,-559.4097468259325
192.22522257107553,-560.3819796061277
192.00469491451423,-561.3540385038315
191.78346183442156,-562.3259248088787
191.5615286117522,-563.2976398111042
191.3389005274609,-564.2691848003429
191.11558286250232,-565.2405610664299
190.89158089783123,-566.2117698992
190.66689991440228,-567.1828125884882
190.44154519317024,-568.1536904241293
190.21552201508973,-569.1244046959583
189.9888356611156,-570.0949566938102
189.76149141220242,-571.0653477075198
189.53349454930498,-572.0355790269222
189.304850353378,-573.0056519418521
189.07556410537612,-573.9755677421446
188.84564108625412,-574.9453277176347
188.61508657696666,-575.914933158157
188.38390585846852,-576.8843853535469
188.15210421171435,-577.8536855936389
187.91968691765885,-578.8228351682682
187.6866592572568,-579.7918353672696
187.45302651146284,-580.760687480478
187.2187939612317,-581.7293927977285
186.98396688751814,-582.6979526088559
186.7485505712768,-583.6663682036951
186.51255029346243,-584.6346408720811
186.27597133502977,-585.6027719038489
186.03881897693344,-586.5707625888332
185.80109850012823,-587.5386142168692
185.56281518556884,-588.5063280777916
185.32397431420995,-589.4739054614356
185.0845811670063,-590.4413476576358
184.8446410249126,-591.4086559562273
184.6041591688835,-592.3758316470452
184.3631408798738,-593.342876019924
184.12159143883815,-594.309790364699
183.87951612673132,-595.276575971205
183.63692022450795,-596.2432341292771
183.3938090131228,-597.2097661287498
183.15018777353058,-598.1761732594586
182.90606178668594,-599.1424568112378
182.66143633354366,-600.1086180739229
182.41631669505844,-601.0746583373485
182.17070815218497,-602.0405788913497
181.92461598587795,-603.0063810257611
181.67804547709213,-603.9720660304181
181.4310019067822,-604.9376351951554
181.18349055590286,-605.903089809808
