s_m,x_m,y_m
557.9742303963998,-131.81427794106202,-218.21350585479604
559.9783227757858,-132.57901412464088,-220.06595419001042
561.9818502130179,-133.34661046251932,-221.91660760267771
563.9847688767081,-134.1173945790561,-223.7652760475464
565.9870370255159,-134.89169409861003,-225.6117694793648
567.9886152231768,-135.66983664553982,-227.4558978528815
569.9894665543476,-136.45214984420426,-229.29747112284474
571.9895568413029,-137.23896131896217,-231.13629924400303
573.988854861512,-138.03059869417228,-232.9721921711048
575.9873325661105,-138.8273895941934,-234.80495985889848
577.9849652992752,-139.6296616433842,-236.63441226213243
579.9791795475663,-140.43632111031505,-238.45819705549428
581.9708012121154,-141.24338475886054,-240.2789675302926
583.9655447785557,-142.05146666768402,-242.10270148141788
585.963173011502,-142.8599456275945,-243.929414466111
587.9634494015272,-143.66820042940105,-245.75912204161284
589.9661386557946,-144.47560986391272,-247.59183976516428
591.9710071868806,-145.28155272193854,-249.4275831940062
593.9778236006489,-146.08540779428753,-251.26636788537945
595.9863591840136,-146.88655387176877,-253.10820939652493
597.9963883934047,-147.68436974519128,-254.95312328468347
600.0076893447209,-148.47823420536412,-256.80112510709597
602.0200443055285,-149.26752604309632,-258.6522304210033
604.0332401902327,-150.05162404919696,-260.50645478364635
606.0470690589189,-150.82990701447503,-262.36381375226597
608.061328620523,-151.60175372973958,-264.22432288410306
610.075822740957,-152.36654298579973,-266.08799773639845
612.090361956771,-153.12365357346442,-267.954853866393
614.1047639948927,-153.87246428354277,-269.8249068313277
616.1188542989352,-154.61235390684377,-271.6981721884433
618.1324665625107,-155.34270123417647,-273.57466549498076
620.1454432699318,-156.06288505634996,-275.4544023081809
622.1576362446162,-156.77228416417324,-277.3373981852845
624.1689072054431,-157.4702773484554,-279.22366868353265
626.1791283312297,-158.1562434000054,-281.11322936016603
628.1881828334167,-158.82956110963238,-283.0060957724257
630.1959655369556,-159.4896092681453,-284.9022834775523
632.2023834692912,-160.13576666635328,-286.801808032787
634.2073564572248,-160.7674120950653,-288.70468499537037
636.2108177313213,-161.38392434509046,-290.61092992254345
638.2127145373969,-161.98468220723774,-292.52055837154705
640.2130087544838,-162.56906447231623,-294.43358589962213
642.2116775185166,-163.13644993113496,-296.35002806400945
