t,segment_id,segment_name
103.8,27,curve
103.9,27,curve
103.95,27,curve
104.05,27,curve
104.1,27,curve
104.2,27,curve
104.25,27,curve
104.35,27,curve
104.4,27,curve
104.5,27,curve
104.55,27,curve
104.65,27,curve
104.7,27,curve
104.8,27,curve
104.85,27,curve
104.95,27,curve
105.05,27,curve
105.1,27,curve
105.2,27,curve
105.25,27,curve
105.35,27,curve
105.4,27,curve
105.45,27,curve
105.55,27,curve
105.6,27,curve
105.65,27,curve
105.7,27,curve
105.75,27,curve
105.85,27,curve
105.9,27,curve
105.95,27,curve
106.0,27,curve
106.1,27,curve
106.15,27,curve
106.2,28,straight
106.25,28,straight
106.35,28,straight
106.4,28,straight
106.45,28,straight
106.5,28,straight
106.55,28,straight
106.65,28,straight
106.7,28,straight
106.75,28,straight
106.8,28,straight
106.85,28,straight
106.95,29,curve
107.0,29,curve
107.05,29,curve
107.1,29,curve
107.2,29,curve
107.25,29,curve
107.3,29,curve
107.35,29,curve
107.4,29,curve
107.5,29,curve
107.55,29,curve
107.6,29,curve
107.7,29,curve
107.75,29,curve
107.8,29,curve
107.85,29,curve
107.95,29,curve
108.0,29,curve
108.05,29,curve
108.15,29,curve
108.2,29,curve
108.25,29,curve
108.35,29,curve
108.4,29,curve
108.45,29,curve
108.55,29,curve
108.6,29,curve
108.7,29,curve
108.8,29,curve
108.85,29,curve
108.95,29,curve
109.05,29,curve
109.1,29,curve
109.2,30,straight
109.3,30,straight
109.45,30,straight
109.55,30,straight
109.65,30,straight
109.8,30,straight
109.95,30,straight
110.1,30,straight
110.2,30,straight
110.35,30,straight
110.45,30,straight
110.55,30,straight
110.65,30,straight
110.7,30,straight
110.8,30,straight
110.85,30,straight
110.95,30,straight
111.0,30,straight
111.05,30,straight
111.1,30,straight
111.15,30,straight
111.25,31,curve
111.3,31,curve
111.35,31,curve
111.4,31,curve
111.45,31,curve
111.5,32,straight
111.55,32,straight
111.6,32,straight
111.65,32,straight
111.7,32,straight
111.75,32,straight
111.8,32,straight
111.85,32,straight
111.9,32,straight
111.95,32,straight
112.0,32,straight
112.05,32,straight
112.1,32,straight
112.15,32,straight
112.2,32,straight
112.25,32,straight
112.3,32,straight
112.35,32,straight
112.4,32,straight
112.45,32,straight
112.5,32,straight
112.55,32,straight
112.6,32,straight
112.65,32,straight
112.7,32,straight
112.75,32,straight
112.8,32,straight
112.85,32,straight
112.9,32,straight
112.95,32,straight
113.0,32,straight
113.05,32,straight
113.1,32,straight
113.15,32,straight
113.2,32,straight
113.25,32,straight
113.3,32,straight
113.35,32,straight
113.4,32,straight
113.45,32,straight
113.5,32,straight
113.55,32,straight
113.6,32,straight
113.65,32,straight
113.7,32,straight
113.75,32,straight
113.8,32,straight
113.85,32,straight
113.9,32,straight
113.95,32,straight
114.0,32,straight
114.05,32,straight
114.1,32,straight
114.15,32,straight
114.2,32,straight
114.25,32,straight
114.3,32,straight
114.35,32,straight
114.4,32,straight
114.45,32,straight
114.5,32,straight
114.55,32,straight
114.6,32,straight
114.65,32,straight
114.7,32,straight
114.75,32,straight
114.8,32,straight
114.85,32,straight
114.9,32,straight
114.95,32,straight
115.0,32,straight
115.05,32,straight
115.1,32,straight
115.15,32,straight
115.2,32,straight
115.25,32,straight
115.3,32,straight
115.35,32,straight
115.4,32,straight
115.45,32,straight
115.5,32,straight
115.55,32,straight
115.65,32,straight
115.7,32,straight
115.75,32,straight
115.8,32,straight
115.85,32,straight
115.9,32,straight
116.0,32,straight
116.05,32,straight
116.1,32,straight
116.15,32,straight
116.2,32,straight
116.25,32,straight
116.3,32,straight
116.35,32,straight
116.4,32,straight
116.45,32,straight
116.5,32,straight
116.55,32,straight
116.6,32,straight
116.65,32,straight
116.7,32,straight
116.75,32,straight
116.8,32,straight
116.85,32,straight
116.9,32,straight
116.95,32,straight
117.0,32,straight
117.05,32,straight
117.1,32,straight
117.15,32,straight
117.2,32,straight
117.25,32,straight
117.3,32,straight
117.35,32,straight
117.4,32,straight
117.45,32,straight
117.5,32,straight
117.55,32,straight
117.6,32,straight
117.65,32,straight
117.7,32,straight
117.75,32,straight
117.8,32,straight
117.85,32,straight
117.9,32,straight
117.95,32,straight
118.0,32,straight
118.05,32,straight
118.15,32,straight
118.2,32,straight
118.25,32,straight
118.3,32,straight
118.35,32,straight
118.45,32,straight
118.5,32,straight
118.55,32,straight
118.6,32,straight
118.65,32,straight
118.7,32,straight
118.75,32,straight
118.85,32,straight
118.9,32,straight
118.95,32,straight
119.0,32,straight
119.05,32,straight
119.1,32,straight
119.2,32,straight
119.25,32,straight
119.3,32,straight
119.35,32,straight
119.4,32,straight
119.5,32,straight
119.55,32,straight
119.6,32,straight
119.65,32,straight
119.7,32,straight
119.8,32,straight
119.85,32,straight
119.9,32,straight
119.95,32,straight
120.05,32,straight
120.1,32,straight
120.15,32,straight
120.2,32,straight
120.25,32,straight
120.35,32,straight
120.4,32,straight
120.45,32,straight
120.5,32,straight
120.6,32,straight
120.65,32,straight
120.7,32,straight
120.75,32,straight
120.85,33,curve
120.9,33,curve
120.95,33,curve
121.0,33,curve
121.1,33,curve
121.15,33,curve
121.2,33,curve
121.25,33,curve
121.35,33,curve
121.4,33,curve
121.45,33,curve
121.5,33,curve
121.55,33,curve
121.6,33,curve
121.65,33,curve
121.7,33,curve
121.75,33,curve
121.8,33,curve
121.85,33,curve
121.9,33,curve
121.95,33,curve
122.0,33,curve
122.1,33,curve
122.15,34,straight
122.2,34,straight
122.25,34,straight
122.3,34,straight
122.4,34,straight
122.45,34,straight
122.5,34,straight
122.6,34,straight
122.65,34,straight
122.7,34,straight
122.75,34,straight
122.8,34,straight
122.85,34,straight
122.9,34,straight
122.95,34,straight
123.05,34,straight
123.1,34,straight
123.15,34,straight
123.2,34,straight
123.25,34,straight
123.3,34,straight
123.35,34,straight
123.4,34,straight
123.45,34,straight
123.5,34,straight
123.55,34,straight
123.6,34,straight
123.65,34,straight
123.7,34,straight
123.75,34,straight
123.8,34,straight
123.85,34,straight
123.9,34,straight
123.95,34,straight
124.0,34,straight
124.05,34,straight
124.1,34,straight
124.15,34,straight
124.2,34,straight
124.25,34,straight
124.3,34,straight
124.35,34,straight
124.4,34,straight
124.45,34,straight
124.5,34,straight
124.55,34,straight
124.6,34,straight
124.65,34,straight
124.7,34,straight
124.75,34,straight
124.8,34,straight
124.85,34,straight
124.9,34,straight
124.95,34,straight
125.0,34,straight
125.05,34,straight
125.1,34,straight
125.15,34,straight
125.2,34,straight
125.25,34,straight
125.3,34,straight
125.35,34,straight
125.4,34,straight
125.45,34,straight
125.5,34,straight
125.55,34,straight
125.6,34,straight
125.65,34,straight
125.7,34,straight
125.75,34,straight
125.8,34,straight
125.85,34,straight
125.9,34,straight
125.95,34,straight
126.0,34,straight
126.05,34,straight
126.1,34,straight
126.15,34,straight
126.2,34,straight
126.25,34,straight
126.3,34,straight
126.35,34,straight
126.4,34,straight
126.45,34,straight
126.5,34,straight
126.55,34,straight
126.6,34,straight
126.65,34,straight
126.7,34,straight
126.75,34,straight
126.8,34,straight
126.85,34,straight
126.9,34,straight
126.95,34,straight
127.0,34,straight
127.05,34,straight
