sim_time,x_dspace,y_dspace,z_dspace,heading_dspace_deg,longitude_deg,latitude_deg,heading_gnss_deg
15875,103.83884931076925,133.77178779851738,5.468850849727419,-177.66832470092686,-121.75460351451093,36.588499036328805,256.99962918897336
15880,103.51358345967998,133.68939278777046,5.464133372235678,-176.37056528350564,-121.754607104811,36.588498337041166,255.70564069223292
15885,103.20702832056041,133.6037567762415,5.459927695358644,-175.12933848511275,-121.75461048988583,36.58849760693756,254.20852092118434
15890,102.91669336359192,133.51454281349007,5.455941969324994,-173.9214611245589,-121.754613697178,36.588496843280204,252.85380479638596
15895,102.63777720541154,133.4227945867199,5.45335953653641,-172.76228640137322,-121.75461677931597,36.58849605586405,251.8149894272666
15900,102.37046829194946,133.32859352882713,5.446770449776591,-171.63860875468038,-121.75461973421413,36.588495245394185,250.57633617954963
15905,102.11127887677425,133.23110732944642,5.444305262909325,-170.53166724912992,-121.75462260036205,36.58849440482805,249.2469555991914
15910,101.85991758875679,133.13028732280884,5.43975988346655,-169.43613836041575,-121.75462538097179,36.58849353376299,248.162426506428
15915,101.61466880066234,133.02640504457202,5.4362348760677595,-168.35984891868145,-121.75462809486508,36.58849263479642,247.05670663311895
15920,101.37438566328153,132.91931578415566,5.432602345597661,-167.29720385063303,-121.75463075467707,36.5884917067606,245.96429609099977
15925,101.13862844111682,132.80874215288432,5.4289472018282945,-166.23983769588972,-121.75463336528871,36.5884907472325,244.84982835459573
15930,100.90690874179634,132.69438455577426,5.4250022155521265,-165.1824492573329,-121.75463593211964,36.58848975359654,243.71367260829254
15935,100.6787117238844,132.5762785667571,5.421106132369188,-164.12877263812297,-121.75463846082559,36.58848872622345,242.6254292831821
15940,100.45430479039649,132.45433831555667,5.416563832834016,-163.07279646962166,-121.75464094848003,36.58848766432075,241.31461774268251
15945,100.23471085153473,132.3282527432773,5.412571465864593,-162.0006345246711,-121.75464338388525,36.58848656501207,240.11944797106426
15950,100.01897755715268,132.19775905539177,5.407754646144343,-160.9145401438055,-121.75464577755685,36.588485426058114,238.67242863383757
15955,99.80725596025262,132.06412051283033,5.404927978975002,-159.84091967467404,-121.75464812762726,36.58848425868819,237.8311654610206
15960,99.5995415783695,131.9268049612178,5.399252354554286,-158.75837402886694,-121.75465043423276,36.58848305816569,236.4051886354901
15965,99.39394932240103,131.7854639380894,5.398028896423227,-157.67713617676048,-121.75465271815995,36.588481821586704,235.58757973805007
15970,99.1859628311323,131.63680242489306,5.395360868945678,-156.56643061069923,-121.75465502961221,36.58848052009442,234.37175574652662
15975,98.97444514392231,131.4788549839528,5.391801528068063,-155.41076527848367,-121.75465738141355,36.588479136312515,233.2082700890753
15980,98.7588495654563,131.31066671017223,5.388390786973055,-154.2123829031097,-121.75465977973187,36.58847766179815,231.96972612652903
15985,98.54039072682887,131.13250635417506,5.3825989145323705,-152.97685793900655,-121.75466221116635,36.588476098816066,230.70166808738628
15990,98.32175102987803,130.94558372635976,5.376669166694944,-151.70996636321306,-121.75466464602185,36.588474457853884,229.3513750719484
15995,98.1034909113082,130.7503715036666,5.371662410105288,-150.41881058079215,-121.75466707805816,36.58847274306034,228.13492833460552
16000,97.88436945905688,130.54562618325292,5.36736123197132,-149.09784088187675,-121.75466952112443,36.58847094349648,226.82665615772834
16005,97.663979663373,130.33210875478483,5.361918587089102,-147.77997447604085,-121.75467197957195,36.58846906597918,226.49626432742392
16010,97.4379742277899,130.1188082609976,5.356826008845007,-146.6907393271022,-121.75467449973704,36.58846719098278,228.13384442216534
16015,97.20244474217492,129.91190808934465,5.351062790380207,-145.92315650747292,-121.75467712358832,36.58846537396042,230.30726574637794
16020,96.95616481707118,129.71088561214813,5.345588051858704,-145.4044038491103,-121.7546798646974,36.58846361038862,232.3044908313646
16025,96.69869036114854,129.51550191169608,5.339919539756875,-145.12718833714996,-121.75468272798679,36.58846189818728,234.32687206855013
16030,96.43279110363213,129.32313356886948,5.334135037587673,-145.00984548680879,-121.75468568342765,36.588460213712565,234.11490495158426
16035,96.17028597231052,129.1189328151447,5.3274753316881815,-144.62674594167478,-121.75468860347851,36.58845842355278,231.1159319628193
16040,95.91786063252044,128.90259112259764,5.317716341050962,-143.99233403920337,-121.75469141466996,36.58845652425926,228.75744727029067
16045,95.68027709599424,128.6794137510326,5.309737413002438,-143.2120952275539,-121.75469406376875,36.588454562557594,225.64763587754268
16050,95.46003241610609,128.44499210370083,5.305230473823536,-142.13858653958084,-121.75469652403629,36.58845249894157,221.81761141498882
16055,95.26042737067222,128.2019935679207,5.298574836997224,-140.79621349782659,-121.75469875873915,36.58845035680874,218.17878654247096
16060,95.08032760328072,127.95356334104868,5.293688656547908,-139.30168017510832,-121.75470077983735,36.58844816427589,215.27483559098096
16065,94.9144643888616,127.70708746244642,5.288928903357462,-137.8489318776527,-121.75470264406185,36.58844598764465,213.89457720785805
16070,94.76064703971433,127.46618108626416,5.283547971947507,-136.45570007743183,-121.75470437491194,36.58844385932614,212.37460949431266
16075,94.62017009996471,127.23020802957292,5.277551555668154,-135.0532192618191,-121.754705958256,36.588441773521275,210.42187953479922
16080,94.4930065795194,126.99990562018185,5.272909427106355,-133.67373442246924,-121.7547073942703,36.5884397367964,208.66912689485048
16085,94.37831219333255,126.77649520498717,5.268682993719805,-132.34037878245599,-121.75470869203954,36.58843776011222,206.96969900232108
16090,94.2746121699227,126.55930329900688,5.26525498730928,-131.03621103022206,-121.75470986789132,36.58843583762849,205.4481884750453
16095,94.18015521343858,126.34798876728657,5.26133023736818,-129.77282803186628,-121.75471094113978,36.58843396649249,204.03318526372246
16100,94.09429986686258,126.14176018520847,5.257404163145817,-128.53620318600622,-121.75471191896813,36.58843213972658,202.53130794698106
16105,94.01632526633705,125.94023236835258,5.253619216178667,-127.323182021659,-121.75471280936642,36.58843035397769,201.19427915417216
16110,93.9451455204522,125.74340558662504,5.249932232641777,-126.14740435703764,-121.7547136242758,36.58842860936227,199.96668293333425
16115,93.88043040349879,125.55091555827241,5.246370326418528,-124.99856384718677,-121.75471436738712,36.588426902672275,198.63915146595508
16120,93.8216447915758,125.3626178092615,5.243070829985148,-123.87614344055554,-121.75471504460862,36.58842523267787,197.49387219550312
16125,93.76815976072912,125.17854713576922,5.239783192664767,-122.78455917212273,-121.75471566285061,36.58842359975484,196.35658602696333
16130,93.71975890321265,124.99854963576175,5.236560624005523,-121.71860198883768,-121.75471622451806,36.588422002555944,195.2283098309122
16135,93.67603223506367,124.82263724745607,5.23341023788371,-120.68108374000668,-121.75471673411742,36.58842044123051,194.19329610501828
16140,93.63655310431912,124.65086002615506,5.230320224517744,-119.67386357050502,-121.75471719633227,36.58841891626893,193.19842475823367
16145,93.60109114784422,124.48319915484711,5.227268866445919,-118.69426302570454,-121.7547176136989,36.58841742752789,192.2118424573848
16150,93.5694188691863,124.31965486881352,5.224345235778529,-117.74153790564947,-121.75471798871897,36.58841597503338,191.2513341836773
16155,93.54128925086155,124.16026035494383,5.221523009090503,-116.81575764709716,-121.75471832410341,36.58841455910676,190.3237706676136
16160,93.51645892641048,124.00505217224807,5.218785789587385,-115.91695451904928,-121.75471862252246,36.58841318009906,189.42607786181622
16165,93.49473596286225,123.85384615865436,5.216319385396312,-115.04217558565331,-121.75471888611685,36.58841183639107,188.49840206232952
16170,93.4759466290654,123.70575182535418,5.214128904312555,-114.18297781286945,-121.75471911694257,36.58841052007415,187.58823723639478
16175,93.45968525646173,123.56013277036088,5.211757730952277,-113.34002808640432,-121.75471931956466,36.588409225525886,186.77257265644957
16180,93.44572595349047,123.41643241235636,5.209413787477488,-112.51032475257597,-121.75471949655812,36.58840794781548,185.94789600715674
16185,93.43399065858118,123.27419054089289,5.207045117564212,-111.68982730964551,-121.7547196488566,36.588406682854476,185.12971303605954
16190,93.4224619003617,123.13320233419593,5.205728097953081,-110.91904455572002,-121.75471979867893,36.588405429031525,186.57078825738972
16195,93.40373044095202,122.98707126820645,5.209038348755649,-110.28257786815084,-121.75472002854731,36.588404130184934,189.21182490469732
16200,93.37923400690407,122.83337036417844,5.204771881014122,-109.71315066029725,-121.75472032304825,36.58840276455948,190.50881615262338
16205,93.34947322420928,122.67880149425073,5.200167057633207,-109.26691323074574,-121.75472067558113,36.5884013917606,192.97873961827554
16210,93.31241283559187,122.52741193893314,5.1968046890694986,-108.99884952395807,-121.75472110786535,36.58840004802968,195.90043877338857
16215,93.26896026255113,122.38017937430772,5.192799862752727,-108.87539270940721,-121.75472160976256,36.58839874197445,198.29666186895489
16220,93.2220228147355,122.23658601136628,5.189626273954291,-108.8337624105441,-121.75472214938677,36.588397468680306,198.84973970273325
16225,93.17626535308145,122.09537940129279,5.186317821587254,-108.78081164085117,-121.75472267564498,36.58839621650834,198.58353367287495
16230,93.13070441640373,121.95631623813415,5.1835237172652695,-108.75121418331875,-121.7547231993917,36.58839498339605,199.08870804174686
16235,93.08445693773164,121.81924175829425,5.180602236734135,-108.75206962512355,-121.75472373036301,36.58839376805851,199.4654472836676
16240,93.0380078665801,121.68310898670022,5.178376574922299,-108.75839327093598,-121.75472426339721,36.588392561124955,199.56831704396245
16245,92.98882938812099,121.53989479203038,5.1797984691632735,-108.76789090189017,-121.75472482760313,36.58839129144141,199.6936852596701
16250,92.93777161918668,121.39236329486766,5.17103395229544,-108.78390226193662,-121.75472541318055,36.58838998352393,199.85637766717608
16255,92.8867257455658,121.24600371845354,5.1694088793387225,-108.80801210285541,-121.75472599843559,36.58838868603729,199.9333175601682
16260,92.83637121176619,121.10169991780384,5.165208875296299,-108.83010651371177,-121.75472657575219,36.58838740677792,199.88372852985765
16265,92.7882114180491,120.95930724375641,5.162481292240079,-108.81896369362937,-121.75472712862167,36.58838614430029,198.5667953563014
16270,92.74453905197713,120.81824913356621,5.1603330139032195,-108.73462117429001,-121.75472763192643,36.58838489323119,197.53846009606664
16275,92.7025774621711,120.6789525090265,5.158384454823907,-108.64581278586432,-121.7547281161305,36.588383657662625,197.41807939554542
16280,92.66154457409523,120.54112039770287,5.156460351549652,-108.5520607139171,-121.75472858988257,36.58838243503316,197.1465854630066
16285,92.6215113449291,120.4042007992389,5.154280288607385,-108.44684321766566,-121.75472905249262,36.5883812204216,196.91895370169675
16290,92.57954377215161,120.26074492930077,5.156614394282895,-108.34254222925705,-121.75472953744227,36.588379947829324,197.138516512424
16295,92.53457296394126,120.10986658633414,5.151172750879956,-108.25499878505103,-121.75473005663056,36.588378609479896,197.49715397807003
16300,92.48769890959805,119.95709357486626,5.147932329515111,-108.19650989999933,-121.7547305970578,36.5883772544646,198.00673100219515
16305,92.4371688535394,119.79763173448717,5.1490730718163435,-108.16630128817556,-121.75473117878198,36.58837584029141,198.51336010850795
16310,92.38064700865162,119.62441506061401,5.147527779586858,-108.16309613072688,-121.75473182864383,36.588374304306235,199.00207483285968
16315,92.31841138269642,119.43986873115578,5.142871860090956,-108.19662002748439,-121.75473254318977,36.58837266806804,199.63543529510423
16320,92.25089042769127,119.24901888235311,5.139131058974893,-108.28863447835872,-121.75473331688677,36.58837097627298,200.76474371257444
16325,92.1747804511098,119.04925395716201,5.138216324530393,-108.48103709168652,-121.75473418649113,36.58836920602076,202.17792824856352
16330,92.08768349363324,118.83546496787602,5.1355773319899365,-108.77072998154205,-121.75473517920736,36.58836731208459,203.38232335832168
16335,91.98999150248213,118.6095409121192,5.129903578911071,-109.14681841467821,-121.7547362904166,36.588365311238576,204.60644582002652
16340,91.88373379853613,118.376302607253,5.124379776073032,-109.59429479343639,-121.75473749701518,36.58836324618304,205.45942949598526
16345,91.77077347785038,118.13447069587714,5.121477446512668,-110.06473452586988,-121.75473877872446,36.58836110533382,205.83046861116858
16350,91.64995659078481,117.88054476445124,5.118010010249838,-110.55826245206343,-121.7547401488061,36.588358857652494,206.30907342410032
16355,91.52167061667166,117.61722450440446,5.110780208959516,-111.08047085049111,-121.75474160255789,36.588356527130195,206.81864220584907
16360,91.38976014144667,117.3511945071249,5.103194922491106,-111.58908598084521,-121.75474309660974,36.588354172867334,207.1130998853659
16365,91.25548380477588,117.08267480526382,5.099904663653553,-112.06760656152495,-121.75474461708492,36.58835179669033,207.2329971230887
16370,91.11684354845633,116.80664399027552,5.0970202168971595,-112.52793983874408,-121.75474618677606,36.588349354110036,207.35264178763015
16375,90.97330235408587,116.52310602042897,5.09089885664164,-112.97722946416711,-121.75474781158788,36.58834684521808,207.57990294438747
16380,90.82693490455858,116.23630022879938,5.084581442318948,-113.39952205991425,-121.75474946801296,36.58834430753378,207.70584105406456
16385,90.67839379297692,115.94611535778108,5.080690085755762,-113.78648920516511,-121.75475114889318,36.58834173999823,207.7369321200195
16390,90.52610607599766,115.64905402398065,5.076824737917869,-114.14790115326193,-121.7547528720972,36.58833911164398,207.79946303916927
16395,90.36968329107349,115.34537973496808,5.070714503388448,-114.49197960993226,-121.75475464185374,36.588336424857516,207.94624170736796
16400,90.21052717165011,115.038197378254,5.064412831500443,-114.81513612363875,-121.75475644224097,36.58833370713036,208.0559465169833
16405,90.048969942337,114.72760189666315,5.05986058230621,-115.11486070043654,-121.75475826959004,36.58833095927277,208.14229083117968
16410,89.88379675177111,114.41144155862266,5.05535043115649,-115.39903032433715,-121.75476013761187,36.588328162258286,208.2682402071425
16415,89.71464907578553,114.08976975606305,5.049585820120587,-115.67377907754937,-121.75476205024027,36.58832531659983,208.4347412879199
16420,89.53980840573281,113.75935025422248,5.047645860848455,-115.94153455898727,-121.754764026902,36.58832239366994,208.55666212245222
16425,89.35284252179744,113.40756843285797,5.047964325957389,-116.20920821014013,-121.75476614039147,36.588319281852655,208.65004615768453
16430,89.14985595699257,113.02751220520797,5.042554888379791,-116.47837972499177,-121.75476843467537,36.58831592002786,208.81588745121928
16435,88.93252684802913,112.62478585604907,5.03382209520835,-116.75772627164471,-121.75477089038384,36.58831235790692,209.1136841852361
16440,88.70280478991319,112.20419008303159,5.026881791655887,-117.05062660503692,-121.75477348529323,36.58830863801938,209.37203378375935
16445,88.4581835363184,111.76037243763793,5.023034351506706,-117.35143759661558,-121.75477624783855,36.5883047129826,209.55789127209042
16450,88.19555887147926,111.28744121306535,5.016455374679953,-117.65241806017404,-121.7547792131186,36.58830053067645,209.75723073230597
16455,87.91480490385396,110.78742175493667,5.007128075564621,-117.96472376223691,-121.75478238218665,36.58829610914311,210.08863045367826
16460,87.61695112449408,110.26445987260841,4.998418339147408,-118.30118419499874,-121.75478574304412,36.588291485179184,210.42924027186913
16465,87.30214064843517,109.71910159738391,4.989118208591366,-118.65381233944913,-121.75478929402792,36.58828666363023,210.7844153396442
16470,86.98547721908416,109.1817331205552,4.959597695852801,-119.04439888920399,-121.7547928640816,36.5882819133985,211.48399611514094
16475,86.65159102064626,108.62579269544982,4.978860790882571,-119.48586051756824,-121.75479662656234,36.588276999653694,211.44568334110588
16480,86.29777836835699,108.03183105403072,4.970605233541062,-119.76765704261534,-121.75480061438029,36.58827174954831,211.17547052200575
16485,85.93439138749515,107.43036778319353,4.935115504329492,-120.05758504526543,-121.7548047087089,36.58826643367111,212.300976003622
16490,85.54949506717973,106.82154066022566,4.943864078098977,-120.6357091352387,-121.75480904077025,36.58826105450203,213.04877705480138
16495,85.14567472708195,106.18460139021344,4.932553086346597,-121.09906937803824,-121.75481358552565,36.58825542707451,212.9869103373096
16500,84.7299346528561,105.53447373705436,4.916360322664438,-121.44346143135924,-121.7548182635125,36.58824968349971,213.40458381598202
16505,84.30184724515935,104.87414166977798,4.913701672602343,-121.8093199077417,-121.75482307894521,36.58824385038489,213.59721453641697
16510,83.85802209381326,104.19158908057237,4.905867682154117,-122.1410147031639,-121.75482807107062,36.5882378211224,213.64675846170573
16515,83.40259436882027,103.495196855103,4.890495744977094,-122.42033093970663,-121.75483319304605,36.588231669882006,213.90072883535544
16520,82.94494870294423,102.80213074055463,4.8726380092186155,-122.68530324399346,-121.75483833886688,36.58822554848231,214.11731506197376
16525,82.490994094136,102.11906492833232,4.862265794654482,-122.93248385596175,-121.75484344246337,36.58821951571438,214.22889161706388
16530,82.0388870826238,101.44042418160915,4.85625820677855,-123.12140861433235,-121.75484852501855,36.58821352214274,214.27017051910354
